00000200 A _Min_Heap_Size
0800712c T modPowerElectronicsAuxMonitorsArrayTranslate
080071c8 T modPowerElectronicsExpMonitorsArrayTranslate
08007224 T modPowerElectronicsCellMonitorsCheckAndSolveInitState
08007244 T modPowerElectronicsCellMonitorsCheckConfigAndReadAnalogData
080072ac T modPowerElectronicsCellMonitorsStartCellConversion
080072c4 T modPowerElectronicsInit
08007500 T modPowerElectronicsCellMonitorsStartLoadedCellConversion
0800751e T modPowerElectronicsCellMonitorsStartTemperatureConversion
08007534 T modPowerElectronicsCellMonitorsEnableBalanceResistorsArrayTest
08007574 T modPowerElectronicsTerminalCellConnectionTest
08007afc T modPowerElectronicsCellMonitorsEnableBalanceResistorsArray
08007b24 T modPowerElectronicsSubTaskBalancing
08007c64 T modPowerElectronicsSamplePackVoltage
08007cbc T modPowerElectronicsLCSenseSample
08007d18 T modPowerElectronicsSamplePackAndLCData
08007d9c T modPowerElectronicsLowestInThree
08007db0 T modPowerElectronicsCalcThrottle
08007f80 T modPowerElectronicsTask
0800803c T modPowerElectronicsResetCurrentOffset
08008050 T modPowerStateSetConfigHandle
08008080 T modPowerStateTask
08008184 T modPowerStateGetButtonPressedState
08008190 T modPowerStateChargerDetected
08008198 T modPowerStatePowerdownRequest
080081c0 T modPowerStateForceOnRequest
080081dc T modPowerStateSetState
080081e4 T modPowerStateInit
08008284 T modPowerStateGetLongButtonPressState
08008290 T modStateOfChargeInit
080082cc T modStateOfChargeStoreStateOfCharge
080082d8 T modStateOfChargeProcess
080083c4 T modStateOfChargeLoadStateOfCharge
080083d0 T modStateOfChargeStoreAndLoadDefaultStateOfCharge
08008418 T modStateOfChargePowerDownSave
08008434 T modStateOfChargeVoltageEvent
0800844c T modTerminalProcessString
08008c54 T modTerminalRegisterCommandCallBack
08008cb8 T modUARTSendPacketWrapper
08008cc0 T modUARTProcessPacket
08008ce0 T modUARTSendPacket
08008cf8 T modUARTInit
08008d18 T modUARTTask
08008d3c T driverSWStorageManagerInit
08008dac T driverSWStorageManagerEraseData
08008dbc T driverSWStorageManagerGetOffsetFromLocation
08008dd4 T driverSWStorageManagerGetStructSize
08008df8 T driverSWStorageManagerStoreStruct
08008e44 T driverSWStorageManagerGetStruct
08008e90 T driverSWSSD1306Command
08008eb8 T driverSWSSD1306Init
08008f84 T driverSWSSD1306ClearDisplayBuffers
08008f94 T driverSWSSD1306ClearDisplay
08008fa4 T driverSWSSD1306FillBuffer
08008fb4 T driverSWSSD1306DisplayAsync
08009058 T driverSWSSD1306DrawPixel
08009138 T driverSWLTC6804DelayMS
08009154 T driverSWLTC6804CalcPEC15
08009180 T driverSWLTC6804Write
0800918a T driverSWLTC6804WriteRead
080091a0 T driverSWLTC6804ReadConfigRegister
08009220 T driverSWLTC6804WakeIC
08009250 T driverSWLTC6804ResetCellVoltageRegisters
08009284 T driverSWLTC6804ResetAuxRegisters
080092b8 T driverSWLTC6804StartCellVoltageConversion
08009302 T driverSWLTC6804StartLoadedCellVoltageConversion
0800934e T driverSWLTC6804StartAuxVoltageConversion
08009394 T driverSWLTC6804ReadCellVoltageGroups
080093fc T driverSWLTC6804ReadCellVoltageRegisters
08009530 T driverSWLTC6804ReadCellVoltagesArray
080095e0 T driverSWLTC6804ReadAuxGroups
08009638 T driverSWLTC6804ReadAuxVoltageRegisters
08009764 T driverSWLTC6804WriteConfigRegister
080098b4 T driverSWLTC6804WriteConfigRegisterB
080099c0 T driverSWLTC6804EnableBalanceResistorsArray
080099ec T driverSWLTC6804Init
08009a9c T driverSWLTC6804ConvertTemperatureExt
08009b58 T driverSWLTC6804ReadAuxVoltagesArray
08009c40 T driverSWISL28022Init
08009cac T driverSWISL28022GetBusCurrent
08009d48 T driverSWISL28022GetBusVoltage
08009df4 T driverSWADC128D818Init
08009f14 T driverSWADC128D818ReadExpVoltages
08009f8c T driverSWADC128D818ConvertTemperatureExt
0800a04c T driverSWADC128D818ReadExpVoltagesArray
0800a134 T driverSWUART2Init
0800a158 T driverSWUART2Task
0800a18c T driverHWADCSetInputChannel
0800a1b0 T driverHWADCInit
0800a2d4 T driverHWADCGetLoadVoltage
0800a344 T driverHWADCGetNTCValue
0800a410 T driverHWADCGetPackCurrent
0800a490 t driverHWEEPROMVerifyPageFullyErased
0800a4b4 t driverHWEEPROMVerifyPageFullWriteVariable
0800a52c t driverHWEEPROMFormat
0800a584 T driverHWEEPROMEraseFlash
0800a5a8 T driverHWEEPROMReadVariable
0800a5fc T driverHWEEPROMInit
0800a7a4 T driverHWEEPROMWriteVariable
0800a888 T driverHWI2C1Init
0800a934 T driverHWI2C1Write
0800a958 T driverHWI2C1Read
0800a980 T driverHWI2C2Init
0800aa30 T driverHWI2C2Write
0800aa50 T driverHWI2C2Read
0800aa74 T driverHWPowerStateInit
0800ab18 T driverHWPowerStateSetOutput
0800ab34 T driverHWPowerStateReadInput
0800ab54 T driverHWSPI1Init
0800abb0 T driverHWSPI1Write
0800ac0c T driverHWSPI1WriteRead
0800ac9c T driverHWSwitchesSetSwitchState
0800acb8 T driverHWSwitchesInit
0800ad00 T driverHWSwitchesDisableAll
0800ad20 T driverHWStatusInit
0800ad68 T driverHWSetOutput
0800ad84 T driverHWUART2Init
0800ae38 T driverHWUART2SendChar
0800ae58 T driverHWUART2GetChar
0800ae8c T DMA1_Channel6_IRQHandler
0800ae98 W HAL_InitTick
0800aec4 T HAL_Init
0800aee8 W HAL_IncTick
0800aef8 W HAL_GetTick
0800af04 W HAL_Delay
0800af1e t ADC_Disable
0800af8c t ADC_Enable
0800afe8 T HAL_ADC_Init
0800b21c T HAL_ADC_Start
0800b36c T HAL_ADC_PollForConversion
0800b4a8 T HAL_ADC_GetValue
0800b4ae T HAL_ADCEx_Calibration_Start
0800b538 T HAL_ADC_ConfigChannel
0800b868 T HAL_ADCEx_MultiModeConfigChannel
0800b940 T HAL_CAN_ConfigFilter
0800ba06 T HAL_CAN_Init
0800bb34 T HAL_CAN_Transmit
0800bc7c T HAL_CAN_Receive_IT
0800bcfc W HAL_CAN_TxCpltCallback
0800bcfe t CAN_Receive_IT.isra.0
0800bdf0 W HAL_CAN_ErrorCallback
0800bdf4 T HAL_CAN_IRQHandler
0800bf78 T HAL_NVIC_SetPriorityGrouping
0800bf9c T HAL_NVIC_SetPriority
0800c000 T HAL_NVIC_EnableIRQ
0800c018 T HAL_SYSTICK_Config
0800c040 T HAL_SYSTICK_CLKSourceConfig
0800c056 W HAL_SYSTICK_Callback
0800c058 T HAL_SYSTICK_IRQHandler
0800c060 T HAL_DMA_Init
0800c0aa T HAL_DMA_Start_IT
0800c0fc T HAL_DMA_IRQHandler
0800c668 t FLASH_SetErrorCode
0800c6a0 T HAL_FLASH_Unlock
0800c6c4 T FLASH_WaitForLastOperation
0800c710 T HAL_FLASH_Program
0800c7b0 t FLASH_MassErase
0800c7d4 T FLASH_PageErase
0800c7f8 T HAL_FLASHEx_Erase
0800c894 T HAL_GPIO_Init
0800ca1c T HAL_GPIO_ReadPin
0800ca28 T HAL_GPIO_WritePin
0800ca32 t I2C_Flush_TXDR
0800ca4e t I2C_TransferConfig
0800ca78 t I2C_WaitOnFlagUntilTimeout
0800cac4 t I2C_IsAcknowledgeFailed
0800cb40 t I2C_WaitOnTXISFlagUntilTimeout
0800cb92 t I2C_WaitOnRXNEFlagUntilTimeout
0800cc0a t I2C_WaitOnSTOPFlagUntilTimeout
0800cc58 T HAL_I2C_Init
0800ccf4 T HAL_I2C_Master_Transmit
0800ce2a T HAL_I2C_Master_Receive
0800cf60 T HAL_I2CEx_ConfigAnalogFilter
0800cfac T HAL_RCC_DeInit
0800cff4 T HAL_RCC_OscConfig
0800d4b0 T HAL_RCC_GetSysClockFreq
0800d514 T HAL_RCC_ClockConfig
0800d678 T HAL_RCC_GetHCLKFreq
0800d684 T HAL_RCC_GetPCLK1Freq
0800d6b4 T HAL_RCC_GetPCLK2Freq
0800d6e4 T HAL_RCCEx_PeriphCLKConfig
0800d8ec t SPI_WaitFifoStateUntilTimeout
0800d98c t SPI_WaitFlagStateUntilTimeout
0800da16 t SPI_EndRxTxTransaction
0800da4a T HAL_SPI_Init
0800dafa T HAL_SPI_TransmitReceive
0800dd90 T HAL_UART_Receive_DMA
0800de00 W HAL_UART_RxCpltCallback
0800de02 t UART_DMAReceiveCplt
0800de2c W HAL_UART_RxHalfCpltCallback
0800de2e t UART_DMARxHalfCplt
0800de38 W HAL_UART_ErrorCallback
0800de3a t UART_DMAError
0800de60 T UART_SetConfig
0800e08c T UART_AdvFeatureConfig
0800e134 T UART_WaitOnFlagUntilTimeout
0800e1be T HAL_UART_Transmit
0800e254 T UART_CheckIdleState
0800e2a4 T HAL_UART_Init
0800e308 T PendSV_Handler
0800e30a T SysTick_Handler
0800e318 T HAL_MspInit
0800e394 T HAL_ADC_MspInit
0800e3d4 T HAL_CAN_MspInit
0800e430 T HAL_I2C_MspInit
0800e4c0 T HAL_SPI_MspInit
0800e57c T HAL_UART_MspInit
0800e5c4 T SystemInit
0800e62c T SystemCoreClockUpdate
0800e68c T libBufferAppend_uint8
0800e698 T libBufferAppend_int16
0800e6ae T libBufferAppend_uint16
0800e6c4 T libBufferAppend_int32
0800e6ee T libBufferAppend_uint32
0800e718 T libBufferAppend_uint16_LSBFirst
0800e72e T libBufferAppend_uint32_LSBFirst
0800e758 T libBufferAppend_float16
0800e76c T libBufferAppend_float32
0800e780 T libBufferAppend_float32_auto
0800e7f4 T libBufferGet_uint8
0800e7fe T libBufferGet_int16
0800e812 T libBufferGet_uint16
0800e826 T libBufferGet_int32
0800e846 T libBufferGet_uint32
0800e866 T libBufferGet_float16
0800e87c T libBufferGet_float32_auto
0800e8c8 T libCRCCalcCRC16
0800e8f0 T libGraphicsInit
0800e964 T libGraphicsDrawLine
0800ea18 T libGraphicsDrawFastVLine
0800ea2e T libGraphicsFillRect
0800ea58 T libGraphicsDrawChar
0800ec78 T libGraphicsSetCursor
0800ec8c T libGraphicsSetTextColor_0
0800eca0 T libGraphicsSetTextSize
0800ecb0 T libGraphicsWrite
0800edf8 T libGraphicsHeight
0800ee04 T libGraphicsWidth
0800ee10 T libGraphicsGetRotation
0800ee1c T libPacketInit
0800ee34 T libPacketSendPacket
0800eec0 T libPacketProcessByte
0800efd4 T libRingBufferNextEndIndex
0800f000 T libRingBufferIncrEnd
0800f014 T libRingBufferIncrStart
0800f028 T libRingBufferNumElements
0800f02c T libRingBufferIsFull
0800f038 T libRingBufferIsEmpty
0800f042 T libRingBufferAdd
0800f078 T libRingBufferPeek
0800f0a8 T libRingBufferPull
0800f0e0 T libRingBufferInit
0800f15c T libRingBufferNew
0800f190 T libMempools_alloc_conf
0800f1dc T libMempools_free_conf
0800f204 T confparser_serialize_main_config_t
0800f2f0 T confparser_deserialize_main_config_t
0800f3e0 T confparser_set_defaults_main_config_t
0800f460 T Default_Handler
0800f460 W ADC1_2_IRQHandler
0800f460 W ADC3_IRQHandler
0800f460 W ADC4_IRQHandler
0800f460 W BusFault_Handler
0800f460 W CAN_RX1_IRQHandler
0800f460 W CAN_SCE_IRQHandler
0800f460 W COMP_1_2_3_IRQHandler
0800f460 W COMP_4_5_6_IRQHandler
0800f460 W COMP7_IRQHandler
0800f460 W DebugMon_Handler
0800f460 W DMA1_Channel1_IRQHandler
0800f460 W DMA1_Channel2_IRQHandler
0800f460 W DMA1_Channel3_IRQHandler
0800f460 W DMA1_Channel4_IRQHandler
0800f460 W DMA1_Channel5_IRQHandler
0800f460 W DMA1_Channel7_IRQHandler
0800f460 W DMA2_Channel1_IRQHandler
0800f460 W DMA2_Channel2_IRQHandler
0800f460 W DMA2_Channel3_IRQHandler
0800f460 W DMA2_Channel4_IRQHandler
0800f460 W DMA2_Channel5_IRQHandler
0800f460 W EXTI0_IRQHandler
0800f460 W EXTI1_IRQHandler
0800f460 W EXTI15_10_IRQHandler
0800f460 W EXTI2_TS_IRQHandler
0800f460 W EXTI3_IRQHandler
0800f460 W EXTI4_IRQHandler
0800f460 W EXTI9_5_IRQHandler
0800f460 W FLASH_IRQHandler
0800f460 W FMC_IRQHandler
0800f460 W FPU_IRQHandler
0800f460 W HardFault_Handler
0800f460 W I2C1_ER_IRQHandler
0800f460 W I2C1_EV_IRQHandler
0800f460 W I2C2_ER_IRQHandler
0800f460 W I2C2_EV_IRQHandler
0800f460 W I2C3_ER_IRQHandler
0800f460 W I2C3_EV_IRQHandler
0800f460 W MemManage_Handler
0800f460 W NMI_Handler
0800f460 W PVD_IRQHandler
0800f460 W RCC_IRQHandler
0800f460 W RTC_Alarm_IRQHandler
0800f460 W RTC_WKUP_IRQHandler
0800f460 W SPI1_IRQHandler
0800f460 W SPI2_IRQHandler
0800f460 W SPI3_IRQHandler
0800f460 W SPI4
0800f460 W SVCall_Handler
0800f460 W TAMP_STAMP_IRQHandler
0800f460 W TIM1_BRK_TIM15_IRQHandler
0800f460 W TIM1_CC_IRQHandler
0800f460 W TIM1_TRG_COM_TIM17_IRQHandler
0800f460 W TIM1_UP_TIM16_IRQHandler
0800f460 W TIM2_IRQHandler
0800f460 W TIM20_BRK_IRQHandler
0800f460 W TIM20_CC_IRQHandler
0800f460 W TIM20_TRG_COM_IRQHandler
0800f460 W TIM20_UP_IRQHandler
0800f460 W TIM3_IRQHandler
0800f460 W TIM4_IRQHandler
0800f460 W TIM6_DAC_IRQHandler
0800f460 W TIM7_IRQHandler
0800f460 W TIM8_BRK_IRQHandler
0800f460 W TIM8_CC_IRQHandler
0800f460 W TIM8_TRG_COM_IRQHandler
0800f460 W TIM8_UP_IRQHandler
0800f460 W UART4_IRQHandler
0800f460 W UART5_IRQHandler
0800f460 W UsageFault_Handler
0800f460 W USART1_IRQHandler
0800f460 W USART2_IRQHandler
0800f460 W USART3_IRQHandler
0800f460 W USB_HP_CAN_TX_IRQHandler
0800f460 W USB_HP_IRQHandler
0800f460 W USB_LP_IRQHandler
0800f460 W USBWakeUP_IRQHandler
0800f460 W USBWakeUp_RMP_IRQHandler
0800f460 W WWDG_IRQHandler
0800f464 T Reset_Handler
0800f4a4 T __libc_init_array
0800f4ec T malloc
0800f4fc T free
0800f50c T memcmp
0800f52c T memcpy
0800f548 T memset
0800f558 T _free_r
0800f5f0 t sbrk_aligned
0800f630 T _malloc_r
0800f718 T __cvt
0800f7dc T __exponent
0800f858 W _printf_float
0800fcc4 T _printf_common
0800fda0 T _printf_i
0800ffec T _sbrk_r
0801000c T frexpf
08010058 T ldexpf
080100a4 T scalbnf
08010188 T siscanf
08010188 T sscanf
080101e0 T __sread
08010202 T __seofread
08010206 T __swrite
0801023e T __sseek
08010262 T __sclose
0801026a T strcpy
0801027c T strtok
080102e4 T __strtok_r
08010334 T _vsniprintf_r
08010334 T _vsnprintf_r
0801038c T vsniprintf
0801038c T vsnprintf
080103a8 T _write_r
080103cc T __assert_func
08010408 T _close_r
08010428 t quorem
08010540 T _dtoa_r
0801111c T __errno
08011128 T fiprintf
08011128 T fprintf
0801114c T _localeconv_r
08011154 T _lseek_r
08011178 T __malloc_lock
08011184 T __malloc_unlock
08011190 T _Balloc
08011210 T _Bfree
08011254 T __multadd
080112e0 T __hi0bits
08011320 T __lo0bits
08011380 T __i2b
080113ac T __multiply
08011500 T __pow5mult
080115b4 T __lshift
08011694 T __mcmp
080116cc T __mdiff
080117e0 T __d2b
08011898 T _calloc_r
080118c4 T __ssputs_r
0801197c T _svfiprintf_r
0801197c T _svfprintf_r
08011b7c T _sungetc_r
08011bf6 T __ssrefill_r
08011c30 T __ssvfiscanf_r
08011c30 T __ssvfscanf_r
08011f20 t __sfputc_r
08011f4e T __sfputs_r
08011f74 T _vfiprintf_r
08011f74 T _vfprintf_r
080121d4 T _scanf_chars
08012288 T _scanf_i
08012478 T _read_r
0801249c T __sccl
0801250c T finitef
08012528 t _strtol_l.constprop.0
0801262c T _strtol_r
08012630 t _strtoul_l.constprop.0
08012714 T _strtoul_r
08012718 T __submore
0801278c T __swbuf_r
08012830 T __swsetup_r
0801290c T abort
0801291c T __sflush_r
08012a28 T _fflush_r
08012aa0 t std
08012ae8 T _cleanup_r
08012af4 T __sfmoreglue
08012b20 T __sfp_lock_acquire
08012b2c T __sfp_lock_release
08012b38 T __sinit_lock_acquire
08012b44 T __sinit_lock_release
08012b50 T __sinit
08012bc0 T __sfp
08012c4c T _fwalk_reent
08012c8a T __retarget_lock_init_recursive
08012c8c T __retarget_lock_acquire_recursive
08012c8e T __retarget_lock_release_recursive
08012c90 T __swhatbuf_r
08012cdc T __smakebuf_r
08012d5c T __ascii_mbtowc
08012d80 T memmove
08012db4 T _realloc_r
08012e12 T _raise_r
08012e64 T raise
08012e74 T _kill_r
08012e98 T _getpid_r
08012e9c T __ascii_wctomb
08012eb8 T _fstat_r
08012edc T _isatty_r
08012efc T _malloc_usable_size_r
08012f0c T _close
08012f1c T _fstat
08012f2c T _getpid
08012f3c T _isatty
08012f4c T _kill
08012f5c T _lseek
08012f6c T _read
08012f7c T _sbrk
08012f98 T _write
08012fa8 T _exit
08012fac T round
08013050 T log
080130d8 T __ieee754_log
08013510 T nan
08013520 t __EH_FRAME_BEGIN__
08013520 T _init
0801352c T _fini
08013538 T _etext
08013574 r flash_addr
080144b0 r crc15Table
080148b0 r ADC128Address
080148bc R driverHWPorts
080148f8 R driverHWSwitchesPorts
08014970 R STATPorts
08014994 R aPLLMULFactorTable
080149a4 R aPredivFactorTable
080149b4 r CSWTCH.33
080149b7 R AHBPrescTable
080149c7 R APBPrescTable
080149d0 R libCRCLookupTable
08014bd0 R libLogos
080167d0 R font
08016cd0 R data_main_config_t_
080174c0 R _global_impure_ptr
080176e8 R __mprec_bigtens
08017710 R __mprec_tens
080177d8 r p05.0
08017810 R _ctype_
08017914 R __sf_fake_stderr
08017934 R __sf_fake_stdin
08017954 R __sf_fake_stdout
08017980 D __exidx_end
08017980 D __exidx_start
08017980 d __frame_dummy_init_array_entry
08017980 d __init_array_start
08017980 d __preinit_array_end
08017980 d __preinit_array_start
08017984 d __do_global_dtors_aux_fini_array_entry
08017984 d __init_array_end
08017988 A _sidata
08017b88 A _siccmram
10000000 ? _eccmram
10000000 ? _sccmram
20000000 D _sdata
20000000 D STATStatuses
20000018 d delayTimeHolder.10
2000001c d hysteresysBMS.4
20000020 d hysteresysCharge.2
20000024 d hysteresysDischarge.3
20000028 d lastPackInSOACharge.0
20000029 d lastPackInSOADisCharge.1
2000002a d firstTrigger.0
2000002c D SystemCoreClock
20000030 D _impure_ptr
20000034 d impure_data
20000094 D __global_locale
20000200 B __bss_start__
20000200 B _sbss
20000200 b completed.1
20000200 D _edata
20000204 b object.0
2000021c B generalConfig
20000220 B generalStateOfCharge
20000224 B packState
200014c0 b RxMessage.6
200014e4 b TxMessage.7
20001500 B chargerOpState
20001501 B chargerOpStateNew
20001502 b commands_send.3
20001503 b crc_high.1
20001504 b crc_low.0
20001508 b ind.4
2000150c B modCANChargerCANOpenState
2000150d B modCANChargerChargingState
2000150e B modCANChargerPresentOnBus
20001510 B modCANChargerTaskIntervalLastTick
20001514 B modCANErrorLastTick
20001518 B modCANGeneralConfigHandle
2000151c B modCANHandle
2000155c B modCANLastChargerHeartBeatTick
20001560 B modCANLastRXDifferLastTick
20001564 B modCANLastRXID
20001568 B modCANPackStateHandle
2000156c b modCANRxBuffer
2000196c b modCANRxBufferLastID
2000196d b modCANRxFrameRead
2000196e b modCANRxFrameWrite
20001970 b modCANRxFrames
20003d4c B modCANSafetyCANMessageTimeout
20003d50 B modCANSendStatusFastLastTisk
20003d54 B modCANSendStatusSlowLastTisk
20003d58 B modCANSendStatusVESCLastTisk
20003d5c b rxbuf_len.2
20003d60 b stat_msgs
20003e28 b stat_msgs_2
20003ec8 b stat_msgs_3
20003f68 b stat_msgs_4
20004058 b stat_msgs_5
200040f8 B jumpBootloaderTrue
200040fc B modCommandsConfigStorage
2000423c B modCommandsGeneralConfig
20004240 B modCommandsGeneralState
20004244 b modCommandsSendBuffer
20004644 b modCommandsSendFunction
20004648 B modCommandsToBeSendConfig
2000464c b print_buffer.0
2000474c B modConfigGeneralConfig
2000488c b hmsCnt
20004890 b msTicks.1
20004894 b displayRefreshLastTick.0
20004898 B modDisplayCurrentState
2000489c b modDisplayDataLast.1
200048d4 B modDisplayDispLoadShuffle
200048d8 B modDisplayLastRefresh
200048dc B modDisplayPresent
200048e0 B modDisplayStartupDelay
200048e4 B toggleButtonPressed
200048e5 B toggleButtonPressedCounter
200048e8 B toggleButtonPressedLastTick
200048ec B toggleButtonReleased
200048ed b LEDOnState.11
200048ee b LEDOnState.2
200048ef b LEDOnState.4
200048f0 b LEDOnState.6
200048f1 b LEDOnState.8
200048f2 b LEDOnState.9
200048f4 b error.13
200048f8 b errorCounter.0
200048fc b lastTick.1
20004900 b lastTick.10
20004904 b lastTick.12
20004908 b lastTick.3
2000490c b lastTick.5
20004910 b lastTick.7
20004914 b highLowByte.3
20004918 b newAddressOffset.2
2000491c b newData.1
20004920 b newStoredData.0
20004924 B modOperationalStateBatteryDeadDisplayTime
20004928 B modOperationalStateChargedTimeout
2000492c B modOperationalStateChargerDisconnectDetectDelay
20004930 B modOperationalStateChargerTimeout
20004934 B modOperationalStateCurrentFaultState
20004935 B modOperationalStateCurrentState
20004938 B modOperationalStateDisplayData
20004970 B modOperationalStateErrorDisplayTime
20004974 B modOperationalStateForceOn
20004978 B modOperationalStateGeneralConfigHandle
2000497c B modOperationalStateGeneralStateOfCharge
20004980 B modOperationalStateLastFaultState
20004981 B modOperationalStateLastState
20004982 B modOperationalStateNewFaultState
20004983 B modOperationalStateNewState
20004984 B modOperationalStateNotUsedResetDelay
20004988 B modOperationalStateNotUsedTime
2000498c B modOperationalStatePSPDisableDelay
20004990 B modOperationalStatePackStatehandle
20004994 B modOperationalStatePreChargeTimeout
20004998 B modOperationalStateStartupDelay
2000499c B modOperationalStateWatchDogCountdownLastTick
200049a0 B packOperationalCellStateLastErrorState
200049a1 B balanceAllowed
200049a2 B calculatedChargeThrottle
200049a4 b chargeLastState.13
200049a5 b chargePFETLastState.12
200049a6 b coolingLastState.11
200049a8 B currentOffset
200049ac B currentOffsetCounter
200049ad b delaytoggle.9
200049ae b dischargeLastState.14
200049b0 b filteredChargeThrottle.6
200049b2 b filteredDisChargeThrottle.5
200049b4 b lastChargeAllowed.8
200049b5 b lastdisChargeLCAllowed.7
200049b6 B modPowerElectronicsAllowForcedOnState
200049b8 B modPowerElectronicsBalanceModeActiveLastTick
200049bc B modPowerElectronicsCellBalanceUpdateLastTick
200049c0 B modPowerElectronicsCellMonitorsTypeActive
